Video File :C:\Users\CPL\Downloads\video.mp4
Background :C:\Users\CPL\Downloads\video.BMP
Arena File :C:\USERS\CPL\DESKTOP\DATA\CleverSys_1.TCG
Arena   ID :1

Video Width :352
Video Height:198
Frame Rate  :25.000000

Frame From  :4
Frame   To  :242

Begin Time  :     0.16(s)
End   Time  :     9.68(s)
Record Num  :239

Attributes:
Last Modified Date	
12/04/2020 23:30:27	

Arena Bounding Box(mm): Left :132	 Right :224	 Top :53	 Bottom :145

Format: FrameNum CenterX(mm) CenterY(mm) NoseX(mm) NoseY(mm)  Motion Orientation(-pi/2 to pi/2) Axis[0](mm) Axis[1](mm) TurningAngleSum DistanceSum(mm) Center_Areas  Nose_Areas

4    176.46403162413324    99.2563247494167    176.46403162413324    99.2563247494167    0.000000   -3.091964   10   1   0.000000   0.000000   CenterArea,   ##  CenterArea, 
176    221.98839495578923    95.51196579222011    221.98839495578923    95.51196579222011    0.588235   -3.136764   24   1   2.566813   146.007959   CenterArea,   ##  CenterArea, 
177    221.66380296172744    107.1508049513181    221.66380296172744    107.1508049513181    0.839216   0.003483   25   2   2.643858   146.485220   CenterArea,   ##  CenterArea, 
178    218.42375965611922    118.4036935097936    218.42375965611922    118.4036935097936    0.023529   0.001206   25   2   2.774350   146.962481   CenterArea,   ##  CenterArea, 
179    212.4416849078998    128.54797798527807    212.4416849078998    128.54797798527807    0.270588   -0.008161   22   3   3.311011   147.302415   CenterArea,   ##  CenterArea, 
180    204.06815652541314    136.92359690002613    204.06815652541314    136.92359690002613    0.231373   -0.006101   18   3   3.193021   147.302415   CenterArea,   ##  CenterArea, 
181    193.81049869066092    142.97599883401222    193.81049869066092    142.97599883401222    0.290196   -0.001645   15   3   2.937684   147.513234   CenterArea,   ##  CenterArea, 
182    182.3021082036284    146.29279022853098    182.3021082036284    146.29279022853098    0.160784   -0.119368   14   3   9.682749   147.815080   CenterArea,   ##  CenterArea, 
183    170.26336893561444    146.63169524229508    170.26336893561444    146.63169524229508    0.000000   -0.119368   14   3   9.682749   148.083822   CenterArea,   ##  CenterArea, 
184    158.45656469560456    143.93794022227314    158.45656469560456    143.93794022227314    0.035294   -0.118337   13   3   9.623661   148.352564   CenterArea,   ##  CenterArea, 
185    147.63761200325305    138.3498325379044    147.63761200325305    138.3498325379044    0.000000   -0.118337   13   3   9.623661   148.652564   CenterArea,   ##  CenterArea, 
186    138.5076690120835    130.1920468153881    138.5076690120835    130.1920468153881    0.000000   -0.118337   13   3   9.623661   148.652564   CenterArea,   ##  CenterArea, 
187    131.66771805762056    119.95691420239677    131.66771805762056    119.95691420239677    0.674510   0.088515   26   4   -2.228071   148.652564   CenterArea,   ##  CenterArea, 
188    127.57906229120974    108.27478237123466    127.57906229120974    108.27478237123466    0.164706   0.088086   26   3   -2.203537   148.652564   CenterArea,   ##  CenterArea, 
189    126.53232956199396    95.87522585473957    126.53232956199396    95.87522585473957    0.196078   -0.011187   25   4   3.484438   148.652564   CenterArea,   ##  CenterArea, 
190    128.62705939576261    83.54149167021959    128.62705939576261    83.54149167021959    0.450980   -0.074823   16   3   7.130498   148.954410   CenterArea,   ##  CenterArea, 
191    133.7632929929004    72.06102404347877    133.7632929929004    72.06102404347877    0.141176   3.138129   18   4   3.041891   149.223152   CenterArea,   ##  CenterArea, 
192    141.6458322624173    62.175193409531296    141.6458322624173    62.175193409531296    0.141176   2.983271   19   3   11.914595   150.189818   CenterArea,   ##  CenterArea, 
193    151.80102937418678    54.53143882630228    151.80102937418678    54.53143882630228    0.141176   -3.078198   26   4   -0.788764   151.472177   CenterArea,   ##  CenterArea, 
194    163.6051642379365    49.64091204912221    163.6051642379365    49.64091204912221    0.180392   -3.079102   26   4   -0.736978   152.716721   CenterArea,   ##  CenterArea, 
195    176.3227152932813    47.844391408992806    176.3227152932813    47.844391408992806    0.211765   -3.067207   26   3   -1.418480   153.961265   CenterArea,   ##  CenterArea, 
196    189.15217779626275    49.288732795060945    189.15217779626275    49.288732795060945    0.223529   -3.086869   24   3   -0.291963   155.210709   CenterArea,   ##  CenterArea, 
197    201.27657621662132    53.91547373031542    201.27657621662132    53.91547373031542    0.592157   -3.085476   12   6   -0.371754   156.370211   CenterArea,   ##  CenterArea, 
198    211.91548743507536    61.46244498303922    211.91548743507536    61.46244498303922    0.211765   -3.102226   12   6   0.587970   157.519607   CenterArea,   ##  CenterArea, 
199    220.37526211337297    71.47842009011094    220.37526211337297    71.47842009011094    0.352941   2.977206   11   6   12.262102   158.605373   CenterArea,   ##  CenterArea, 
200    226.09421322208297    83.34999878892413    226.09421322208297    83.34999878892413    0.149020   2.824048   10   5   21.037380   159.682406   CenterArea,   ##  CenterArea, 
201    228.67983014206933    96.33912905408394    228.67983014206933    96.33912905408394    0.450980   2.914348   10   4   15.863593   160.697843   CenterArea,   ##  CenterArea, 
202    227.93555753152816    109.62897537310224    227.93555753152816    109.62897537310224    0.172549   2.859270   11   4   19.019291   161.682728   CenterArea,   ##  CenterArea, 
203    223.87532135956985    122.37528369406165    223.87532135956985    122.37528369406165    0.121569   2.887593   10   4   17.396506   162.588267   CenterArea,   ##  CenterArea, 
204    216.72475053345147    133.7600132390372    216.72475053345147    133.7600132390372    0.125490   2.934296   10   4   14.720615   163.512629   CenterArea,   ##  CenterArea, 
205    206.90888350726323    143.04382821595956    206.90888350726323    143.04382821595956    0.078431   2.953050   10   4   13.646117   164.694905   CenterArea,   ##  CenterArea, 
206    195.0270119989362    149.61408172663184    195.0270119989362    149.61408172663184    0.243137   -3.060975   13   3   -1.775563   165.855843   CenterArea,   ##  CenterArea, 
207    181.81614338976186    153.02517945944783    181.81614338976186    153.02517945944783    0.243137   -2.870681   24   5   -12.678623   166.799830   CenterArea,   ##  CenterArea, 
208    168.10530606729165    153.0286678166817    168.10530606729165    153.0286678166817    0.341176   -2.899879   26   5   -11.005705   167.766497   CenterArea,   ##  CenterArea, 
209    154.76352947639936    149.591022629317    154.76352947639936    149.591022629317    0.678431   -3.025501   17   3   -3.808077   168.403329   CenterArea,   ##  CenterArea, 
210    142.64476274380124    142.8978817833906    142.64476274380124    142.8978817833906    0.043137   -3.019917   17   3   -4.128017   169.112006   CenterArea,   ##  CenterArea, 
211    132.53322307687296    133.34432008017717    132.53322307687296    133.34432008017717    0.043137   -3.105147   23   3   0.755282   169.314765   CenterArea,   ##  CenterArea, 
212    125.0926711918882    121.51165355340927    125.0926711918882    121.51165355340927    0.623529   -3.106673   19   3   0.842764   169.314765   CenterArea,   ##  CenterArea, 
213    120.82289330885267    108.13212666216046    120.82289330885267    108.13212666216046    0.000000   -3.106673   19   3   0.842764   169.314765   CenterArea,   ##  CenterArea, 
214    120.02623958553227    94.04362358163688    120.02623958553227    94.04362358163688    0.227451   -3.105353   20   3   0.767126   169.314765   CenterArea,   ##  CenterArea, 
215    122.78645276979142    80.13720304052119    122.78645276979142    80.13720304052119    0.411765   3.129951   20   4   3.510414   169.314765   CenterArea,   ##  CenterArea, 
216    128.96125602778437    67.30074144156349    128.96125602778437    67.30074144156349    0.384314   3.100350   23   5   5.206433   169.314765   CenterArea,   ##  CenterArea, 
217    138.1893029357996    56.362248667380314    138.1893029357996    56.362248667380314    0.564706   -3.110789   22   5   1.078583   169.314765   CenterArea,   ##  CenterArea, 
218    149.91118000549287    48.036475201525626    149.91118000549287    48.036475201525626    0.211765   3.108019   22   4   4.767019   169.314765   CenterArea,   ##  CenterArea, 
219    163.4032508359618    42.87825242957103    163.4032508359618    42.87825242957103    0.098039   3.140064   23   4   2.930996   169.548098   CenterArea,   ##  CenterArea, 
220    177.82229884704614    41.24560941447376    177.82229884704614    41.24560941447376    0.090196   3.124579   24   4   3.818224   170.049208   CenterArea,   ##  CenterArea, 
221    192.25821644163327    43.27511254272492    192.25821644163327    43.27511254272492    0.090196   3.125393   23   4   3.771601   170.517063   CenterArea,   ##  CenterArea, 
222    205.79144887662045    48.87111560508395    205.79144887662045    48.87111560508395    0.560784   -3.020643   31   5   -4.086407   171.248120   CenterArea,   ##  CenterArea, 
223    217.55156716289275    57.709734199503885    217.55156716289275    57.709734199503885    0.000000   -3.020643   31   5   -4.086407   172.461472   CenterArea,   ##  CenterArea, 
224    226.7732391943413    69.25742469345079    226.7732391943413    69.25742469345079    0.000000   -3.020643   31   5   -4.086407   173.663323   CenterArea,   ##  CenterArea, 
225    232.84600081129804    82.80311355970952    232.84600081129804    82.80311355970952    0.070588   -3.035699   29   5   -3.223754   174.854494   CenterArea,   ##  CenterArea, 
226    235.35459228707822    97.50194748377231    235.35459228707822    97.50194748377231    0.062745   -3.059529   29   5   -1.858413   176.035830   CenterArea,   ##  CenterArea, 
227    234.10719957766761    112.4279747661122    234.10719957766761    112.4279747661122    0.427451   -3.125950   27   4   1.947233   177.214341   CenterArea,   ##  CenterArea, 
228    229.1496887494544    126.63247384778674    229.1496887494544    126.63247384778674    0.219608   -3.111204   28   5   1.102324   178.406911   CenterArea,   ##  CenterArea, 
229    220.7647999309212    139.20425477675255    220.7647999309212    139.20425477675255    0.074510   -3.100841   28   5   0.508590   179.540244   CenterArea,   ##  CenterArea, 
230    209.45621889975615    149.32810085529405    209.45621889975615    149.32810085529405    0.000000   -3.100841   28   5   0.508590   180.644277   CenterArea,   ##  CenterArea, 
231    195.91840978898182    156.3376027391235    195.91840978898182    156.3376027391235    0.066667   3.126681   28   5   3.697794   181.703103   CenterArea,   ##  CenterArea, 
232    180.99400975138508    159.75896258560869    180.99400975138508    159.75896258560869    0.301961   3.104511   25   4   4.968018   182.701991   CenterArea,   ##  CenterArea, 
233    165.6213966760308    159.34289275687465    165.6213966760308    159.34289275687465    0.301961   -3.107589   15   5   0.895192   183.398011   CenterArea,   ##  CenterArea, 
234    150.7756914618876    155.08246901847696    150.7756914618876    155.08246901847696    0.301961   -2.814378   18   10   -15.904550   183.865867   CenterArea,   ##  CenterArea, 
235    137.40690395301857    147.2156767350184    137.40690395301857    147.2156767350184    0.360784   -2.665958   16   8   -24.408383   184.400241   CenterArea,   ##  CenterArea, 
236    126.3791460659065    136.21235530431233    126.3791460659065    136.21235530431233    0.227451   -2.868174   17   8   -12.822235   185.001166   CenterArea,   ##  CenterArea, 
237    118.41480118856097    122.746239935797    118.41480118856097    122.746239935797    0.411765   -2.863191   16   7   -13.107750   186.481406   CenterArea,   ##  CenterArea, 
238    114.04725568602439    107.65375755782517    114.04725568602439    107.65375755782517    0.235294   -2.825769   16   7   -15.251870   187.981406   CenterArea,   ##  CenterArea, 
239    113.58528230505962    91.88209360225343    113.58528230505962    91.88209360225343    0.384314   -2.746827   17   8   -19.774945   189.381803   CenterArea,   ##  CenterArea, 
240    117.09144745378487    76.42975286527837    117.09144745378487    76.42975286527837    0.486275   -2.690835   16   7   -22.983004   190.815524   CenterArea,   ##  CenterArea, 
241    124.3760389260542    62.283344132431914    124.3760389260542    62.283344132431914    0.443137   -2.859946   16   8   -13.293696   192.619840   CenterArea,   ##  CenterArea, 
242    135.00703227886058    50.35459073471488    135.00703227886058    50.35459073471488    0.443137   3.141031   41   3   2.875617   193.990160   CenterArea,   ##  CenterArea, 
